"from_user","Member_Attendee","Archy_External","Org_Archy","Org_Other","Individual_Other"
"HKNorton",1,,,,
"DrKillgrove",1,,,,
"LizOrtizPHN",1,,,,
"potatokitty",1,,,,
"heatherwalder",1,,,,
"jstpwalsh",1,,,,
"cmdarwent",1,,,,
"tinysapien",1,,,,
"jason_p_deleon",1,,,,
"nmj428",1,,,,
"PauletteSteeves",,1,,,
"bones_canada",1,,,,
"AConference2020",,,1,,
"Archaeo_Girl",1,,,,
"charter4values",,,,1,
"Archaeo_Guy",1,,,,
"KylieQuave",1,,,,
"archaeoliz",1,,,,
"aejolene",1,,,,
"ArchaeoMapper",1,,,,
"archaeocore",1,,,,
"EthicalArchae",1,,,,
"SAAorg",,,1,,
"alt_saa",,,1,,
"landward_rsrch",,,1,,
"mbalter",1,,,,
"JessSteel7",1,,,,
"this_is_emma",1,,,,
"diggingellen",1,,,,
"ekansa",1,,,,
"benmarwick",1,,,,
"KUHoopes",1,,,,
"osteoarchaeo",1,,,,
"vtgiovanna",1,,,,
"Arqueo_geek",1,,,,
"seebeegeebees",1,,,,
"MarcKissel",1,,,,
"LisaWWilkins",,1,,,
"Northernsirena",1,,,,
"AndrewwBrown",1,,,,
"DigArcRec",,,1,,
"electricarchaeo",,1,,,
"lauraheathstout",1,,,,
"AbsLovesMuseums",1,,,,
"ArchyFem",1,,,,
"TheScientistLLC",,,,1,
"QueerArch",,,1,,
"suzie_birch",1,,,,
"GRSchug",1,,,,
"floridapress",,,1,,
"LNBel",1,,,,
"preshitorian",,1,,,
"ValerieBondura",1,,,,
"BAMistretta",1,,,,
"MDPetraglia",1,,,,
"melmbeasley",1,,,,
"ancientchildren",1,,,,
"archaeotext",1,,,,
"EvolvedTech",1,,,,
"ArchyFantasies",1,,,,
"CDWren",1,,,,
"dangergrrlie",1,,,,
"annapjudson",,1,,,
"profdanhicks",1,,,,
"johnhawks",,1,,,
"punuckish",1,,,,
"adefenestration",1,,,,
"diggrrl",,1,,,
"RGibsongirl",1,,,,
"ndngenuity",,,,,1
"popover_party",1,,,,
"CambUP_Archaeo",,,1,,
"sarahelizplatt",1,,,,
"KurlyTlapoyawa",1,,,,
"sfrnmh",1,,,,
"beloitbioarch",1,,,,
"sarakbecker",1,,,,
"Tushingham",1,,,,
"JamesRAllison",1,,,,
"rdwambold",1,,,,
"KJNMyers",1,,,,
"ossiferous_ak",1,,,,
"cgabe",1,,,,
"palaeobeth",1,,,,
"Autumn__Painter",1,,,,
"UCLarchaeology",,,1,,
"ArchaeoJapan",1,,,,
"GillianLWong",1,,,,
"kellydwiltshire",,1,,,
"arkeokasiopeia",1,,,,
"Mammothunter",1,,,,
"archaeoanna",1,,,,
"NSusmann",1,,,,
"fiftysitesbook",1,,,,
"Samanthosaurus",1,,,,
"archaeomather",1,,,,
"HumanOrrigins",1,,,,
"SuzieThomasHY",1,,,,
"archaeomap",1,,,,
"DS_tone",1,,,,
"SarahdeK1",1,,,,
"SydJames__",1,,,,
"ajatnuvuk",1,,,,
"thethinsection",1,,,,
"GreenLikeLemons",1,,,,
"NMathwich",1,,,,
"MaryELennon",1,,,,
"AprilMBeisaw",1,,,,
"cochrane_ethan",1,,,,
"Archaeoknitter",1,,,,
"FLINArchaeology",,,1,,
"F_EstradaBelli",1,,,,
"DanelawDawn",1,,,,
"Trowel_Tales",1,,,,
"JayVanderVeen",1,,,,
"UniShefArch",,,1,,
"AntiquityJ",,,1,,
"Hugh_Willmott",1,,,,
"SEARCH_Inc",,,1,,
"anthropologydp",,,1,,
"archaeologyash",1,,,,
"marcyrockman",1,,,,
"lifeinsherds",1,,,,
"AnthropologisTL",1,,,,
"ba_davies",1,,,,
"ArchHelmer",1,,,,
"kbiittner",1,,,,
"BethanyWasik",1,,,,
"ashanishinaabe",1,,,,
"JoMcDonald12",1,,,,
"RobertEWitcher",1,,,,
"alisha_adams_",1,,,,
"lynnegoldstein",1,,,,
"LydiaPyne",1,,,,
"Archaesmallogy",1,,,,
"sm9eb",1,,,,
"SAA_NASF",,,1,,
"sherr_spadefoot",1,,,,
"precatlady",1,,,,
"ecreetz",1,,,,
"emilyvanawesome",1,,,,
"dinaa_proj",,,1,,
"emma_slayton",1,,,,
"BAR_Publishing",,,1,,
"BoneBroke9",1,,,,
"alisonincambo",1,,,,
"PWREngineers",,,1,,
"resandmag",,,1,,
"OBTlab",,,1,,
"Julian62523002",1,,,,
"jon_benj",1,,,,
"staceylcamp",1,,,,
"RoutledgeHist",,,1,,
"UCDGradStudent",1,,,,
"desireerm",1,,,,
"captain_primate",1,,,,
"chelseabl",1,,,,
"ArchaeoAine",1,,,,
"KatherineRCook",1,,,,
"Hollisene",1,,,,
"aap_saaorg",,,1,,
"kyunearthed",1,,,,
"Luke_J_Murphy",1,,,,
"KendraSirak",1,,,,
"olduvaigorgeSDS",1,,,,
"RachelOpitz",1,,,,
"zenobiewan",1,,,,
"OJTH",,,1,,
"UPFArchaeo",,,1,,
"BrownAnthro",,,1,,
"ENMUAnthro",1,,,,
"JaneEvaBaxter",1,,,,
"ktbaustian",1,,,,
"ArchStProject",,,1,,
"jadufton",1,,,,
"AW_archaeology",1,,,,
"OU_LMAMR",,,1,,
